Date,Log_Address,Log_Reason,Normalized_Reason,lat,long,Normalized_Address
2024/09/30 01:49:00,"7 THOREAU CT","NOISE COMPLAINT P - Services Rendered","NOISE COMPLAINT",42.274903,-71.389779,"7 THOREAU CT, NATICK, MA, 01760"
2024/09/30 09:41:00,"[NAT 2893] DICK'S SPORTING GOODS - 1336 WORCESTER ST","MOTOR VEHICLE STOP Citation/ Warning Issued","MOTOR VEHICLE STOP",42.298917,-71.387301,"1336 WORCESTER ST, NATICK, MA, 01760"
2024/09/30 09:51:00,"144 WORCESTER ST ","MOTOR VEHICLE STOP Citation/ Warning Issued","MOTOR VEHICLE STOP",42.303171,-71.333234,"144 WORCESTER ST, NATICK, MA, 01760"
2024/09/30 09:57:00,"[NAT 2972] 32 PLEASANT SOUTH ST - 32 PLEASANT ST","MOTOR VEHICLE STOP Citation/ Warning Issued","MOTOR VEHICLE STOP",42.268889,-71.312789,"32 PLEASANT ST S, NATICK, MA, 01760"
2024/09/30 09:59:00,"61 SCHOOL STREET EXT Apt. #B","Animals (Other) P - Services Rendered","ANIMALS",42.281853,-71.346362,"61 SCHOOL ST, NATICK, MA, 01760"
2024/09/30 10:00:00,"11 BRADFORD RD","COMPLAINT P - Services Rendered","COMPLAINT",42.308592,-71.351279,"11 BRADFORD RD, NATICK, MA, 01760"
2024/09/30 10:37:00,"[NAT 1063] METROWEST MEDICAL CENTER - LEONARD MORSE HOSP - 67 UNION ST","MOTOR VEHICLE STOP Citation/ Warning Issued","MOTOR VEHICLE STOP",42.280369,-71.332476,"67 UNION ST, NATICK, MA, 01760"
2024/09/30 10:46:00,"13 UNION ST ","MOTOR VEHICLE STOP Citation/ Warning Issued","MOTOR VEHICLE STOP",42.283962,-71.339369,"13 UNION ST, NATICK, MA, 01760"
2024/09/30 11:22:00,"59 HARTFORD ST","MOTOR VEHICLE STOP Citation/ Warning Issued","MOTOR VEHICLE STOP",42.294686,-71.382400,"59 HARTFORD ST, NATICK, MA, 01760"
2024/09/30 14:24:00,"190 NORTH MAIN ST","MOTOR VEHICLE STOP Citation/ Warning Issued","MOTOR VEHICLE STOP",42.298626,-71.359458,"190 N MAIN ST, NATICK, MA, 01760"
2024/09/30 14:28:00,"59 ELIOT HILL RD","SERVE WARRANT UNABLE TO SERVE","SERVE WARRANT UNABLE TO SERVE",42.259929,-71.337413,"59 ELIOT HILL RD, NATICK, MA, 01760"
2024/09/30 14:35:00,"[NAT 1015] U- HAUL CO - 834 WORCESTER ST","SUSPICIOUS ACTIVITY Gone On Arrival","SUSPICIOUS ACTIVITY",42.300197,-71.356918,"834 WORCESTER ST, NATICK, MA, 01760"
2024/09/30 14:41:00,"[NAT 3477] AUTO WHOLESALERS - 135 WEST CENTRAL ST","Animals (Other) P - Services Rendered","ANIMALS",42.283208,-71.371980,"135 W CENTRAL ST, NATICK, MA, 01760"
2024/09/30 17:17:00,"[NAT 4342] 310 SPEEN ST ","DISABLED M/V Gone On Arrival","DISABLED M/V",42.299781,-71.379357,"310 SPEEN ST, NATICK, MA, 01760"
2024/09/30 17:18:00,"[NAT 2051] HOME DEPOT - 339 SPEEN ST","SUSPICIOUS ACTIVITY Arrest(s) Made","SUSPICIOUS ACTIVITY",42.301047,-71.379963,"339 SPEEN ST, NATICK, MA, 01760"
2024/09/30 18:12:00,"[NAT 3984] BRANDON SCHOOL HOUSE 4 - 27 WINTER ST","MISSING/LOST CHILD P - Services Rendered","MISSING/LOST CHILD",42.319975,-71.362971,"27 WINTER ST, WAYLAND, MA, 01778"
2024/09/30 18:31:00,"310 SPEEN ST ","MOTOR VEHICLE STOP SUMMONS REQUEST","MOTOR VEHICLE STOP",42.299781,-71.379357,"310 SPEEN ST, NATICK, MA, 01760"
2024/09/30 20:29:00,"4 CHURCH ST Apt. #3","SUSPICIOUS ACTIVITY Unfounded","SUSPICIOUS ACTIVITY",42.283707,-71.345480,"4 CHURCH ST, NATICK, MA, 01760"
